,Iteration,Time,Fitness,FEvals,use_fast_mimic,Population Size,Keep Percent,max_iters
309,0,0.1224846999393776,109.0,100.0,False,100,0.8,1000
310,1,3.0658126999624074,75.0,202.0,False,100,0.8,1000
311,2,6.177974999998696,75.0,303.0,False,100,0.8,1000
312,3,9.071945699979551,75.0,404.0,False,100,0.8,1000
313,4,11.983273299993016,75.0,505.0,False,100,0.8,1000
314,5,14.895422099973075,75.0,606.0,False,100,0.8,1000
315,6,17.813762499950826,75.0,707.0,False,100,0.8,1000
316,7,20.72926329995971,75.0,808.0,False,100,0.8,1000
317,8,23.643957799999043,75.0,909.0,False,100,0.8,1000
318,9,26.559075199998915,75.0,1010.0,False,100,0.8,1000
319,10,29.476220299955457,75.0,1111.0,False,100,0.8,1000
320,11,32.4043732000282,75.0,1212.0,False,100,0.8,1000
321,12,35.32252649997827,75.0,1313.0,False,100,0.8,1000
322,13,38.24903720000293,75.0,1414.0,False,100,0.8,1000
323,14,41.16402399993967,75.0,1515.0,False,100,0.8,1000
324,15,44.08478309994098,75.0,1616.0,False,100,0.8,1000
325,16,47.00506679993123,75.0,1717.0,False,100,0.8,1000
326,17,49.91456669999752,75.0,1818.0,False,100,0.8,1000
327,18,52.82088200002909,75.0,1919.0,False,100,0.8,1000
328,19,55.73225659993477,75.0,2020.0,False,100,0.8,1000
329,20,58.642442199983634,75.0,2121.0,False,100,0.8,1000
330,21,61.549304499989375,75.0,2222.0,False,100,0.8,1000
331,22,64.45675839995965,75.0,2323.0,False,100,0.8,1000
332,23,67.36440510000102,75.0,2424.0,False,100,0.8,1000
333,24,70.26971449994016,75.0,2525.0,False,100,0.8,1000
334,25,73.17947179998737,75.0,2626.0,False,100,0.8,1000
335,26,76.09399480000138,75.0,2727.0,False,100,0.8,1000
336,27,79.01066229993012,75.0,2828.0,False,100,0.8,1000
337,28,81.92594260000624,75.0,2929.0,False,100,0.8,1000
338,29,84.83604259998538,75.0,3030.0,False,100,0.8,1000
339,30,87.74678209994454,75.0,3131.0,False,100,0.8,1000
340,31,90.66140560002532,75.0,3232.0,False,100,0.8,1000
341,32,93.57170269999187,75.0,3333.0,False,100,0.8,1000
342,33,96.50615329993889,75.0,3434.0,False,100,0.8,1000
343,34,99.43732339993585,75.0,3535.0,False,100,0.8,1000
344,35,102.36771719995886,75.0,3636.0,False,100,0.8,1000
345,36,105.29197269992437,75.0,3737.0,False,100,0.8,1000
346,37,108.1953781999182,75.0,3838.0,False,100,0.8,1000
347,38,111.10759709996637,75.0,3939.0,False,100,0.8,1000
348,39,114.02206129999831,75.0,4040.0,False,100,0.8,1000
349,40,116.96310789999552,75.0,4141.0,False,100,0.8,1000
350,41,119.90529489994515,75.0,4242.0,False,100,0.8,1000
351,42,122.81446309993044,75.0,4343.0,False,100,0.8,1000
352,43,125.72531909996178,75.0,4444.0,False,100,0.8,1000
353,44,128.63510109996423,75.0,4545.0,False,100,0.8,1000
354,45,131.55100999993738,75.0,4646.0,False,100,0.8,1000
355,46,134.4616771999281,75.0,4747.0,False,100,0.8,1000
356,47,137.37326100002974,75.0,4848.0,False,100,0.8,1000
357,48,140.2902673999779,75.0,4949.0,False,100,0.8,1000
358,49,143.2035418000305,75.0,5050.0,False,100,0.8,1000
359,50,146.1096137999557,75.0,5151.0,False,100,0.8,1000
360,51,149.01714849995915,75.0,5252.0,False,100,0.8,1000
361,52,151.92027599993162,75.0,5353.0,False,100,0.8,1000
362,53,154.8337121999357,75.0,5454.0,False,100,0.8,1000
363,54,157.75588539999444,75.0,5555.0,False,100,0.8,1000
364,55,160.6811899000313,75.0,5656.0,False,100,0.8,1000
365,56,163.60761870001443,75.0,5757.0,False,100,0.8,1000
366,57,166.53493900003377,75.0,5858.0,False,100,0.8,1000
367,58,169.44061239995062,75.0,5959.0,False,100,0.8,1000
368,59,172.34820130001754,75.0,6060.0,False,100,0.8,1000
369,60,175.253463299945,75.0,6161.0,False,100,0.8,1000
370,61,178.15695510001387,75.0,6262.0,False,100,0.8,1000
371,62,181.05814390000887,75.0,6363.0,False,100,0.8,1000
372,63,183.97370839992072,75.0,6464.0,False,100,0.8,1000
373,64,186.88142009999137,75.0,6565.0,False,100,0.8,1000
374,65,189.78522049996536,75.0,6666.0,False,100,0.8,1000
375,66,192.68739670002833,75.0,6767.0,False,100,0.8,1000
376,67,195.59159199998248,75.0,6868.0,False,100,0.8,1000
377,68,198.506544200005,75.0,6969.0,False,100,0.8,1000
378,69,201.4243496999843,75.0,7070.0,False,100,0.8,1000
379,70,204.3454628000036,75.0,7171.0,False,100,0.8,1000
380,71,207.26248959999066,75.0,7272.0,False,100,0.8,1000
381,72,210.18950290000066,75.0,7373.0,False,100,0.8,1000
382,73,213.11747920000926,75.0,7474.0,False,100,0.8,1000
383,74,216.03921319998335,75.0,7575.0,False,100,0.8,1000
384,75,218.95233529992402,75.0,7676.0,False,100,0.8,1000
385,76,221.86743500002194,75.0,7777.0,False,100,0.8,1000
386,77,224.77787949994672,75.0,7878.0,False,100,0.8,1000
387,78,227.6865709000267,75.0,7979.0,False,100,0.8,1000
388,79,230.6011006999761,75.0,8080.0,False,100,0.8,1000
389,80,233.52832749998197,75.0,8181.0,False,100,0.8,1000
390,81,236.45323199999984,75.0,8282.0,False,100,0.8,1000
391,82,239.3745867999969,75.0,8383.0,False,100,0.8,1000
392,83,242.29322320001666,75.0,8484.0,False,100,0.8,1000
393,84,245.21189039992169,75.0,8585.0,False,100,0.8,1000
394,85,248.1323121000314,75.0,8686.0,False,100,0.8,1000
395,86,251.06073639995884,75.0,8787.0,False,100,0.8,1000
396,87,253.98774869996123,75.0,8888.0,False,100,0.8,1000
397,88,256.9133571999846,75.0,8989.0,False,100,0.8,1000
398,89,259.8400860999245,75.0,9090.0,False,100,0.8,1000
399,90,262.76986609993037,75.0,9191.0,False,100,0.8,1000
400,91,265.69717619998846,75.0,9292.0,False,100,0.8,1000
401,92,268.61970089992974,75.0,9393.0,False,100,0.8,1000
402,93,271.53576769994106,75.0,9494.0,False,100,0.8,1000
403,94,274.4482629999984,75.0,9595.0,False,100,0.8,1000
404,95,277.36922609992325,75.0,9696.0,False,100,0.8,1000
405,96,280.2843913999386,75.0,9797.0,False,100,0.8,1000
406,97,283.2040160000324,75.0,9898.0,False,100,0.8,1000
407,98,286.11561640002765,75.0,9999.0,False,100,0.8,1000
408,99,289.0302896000212,75.0,10100.0,False,100,0.8,1000
409,100,291.9425098999636,75.0,10201.0,False,100,0.8,1000
410,101,294.87095190002583,75.0,10302.0,False,100,0.8,1000
411,0,0.1224846999393776,109.0,200.0,False,200,0.2,1000
412,1,3.0658126999624074,80.0,402.0,False,200,0.2,1000
413,2,6.177974999998696,75.0,604.0,False,200,0.2,1000
414,3,9.071945699979551,75.0,805.0,False,200,0.2,1000
415,4,11.983273299993016,74.0,1007.0,False,200,0.2,1000
416,5,14.895422099973075,73.0,1209.0,False,200,0.2,1000
417,6,17.813762499950826,72.0,1411.0,False,200,0.2,1000
418,7,20.72926329995971,72.0,1612.0,False,200,0.2,1000
419,8,23.643957799999043,72.0,1813.0,False,200,0.2,1000
420,9,26.559075199998915,72.0,2014.0,False,200,0.2,1000
421,10,29.476220299955457,72.0,2215.0,False,200,0.2,1000
422,11,32.4043732000282,72.0,2416.0,False,200,0.2,1000
423,12,35.32252649997827,72.0,2617.0,False,200,0.2,1000
424,13,38.24903720000293,72.0,2818.0,False,200,0.2,1000
425,14,41.16402399993967,72.0,3019.0,False,200,0.2,1000
426,15,44.08478309994098,72.0,3220.0,False,200,0.2,1000
427,16,47.00506679993123,72.0,3421.0,False,200,0.2,1000
428,17,49.91456669999752,72.0,3622.0,False,200,0.2,1000
429,18,52.82088200002909,72.0,3823.0,False,200,0.2,1000
430,19,55.73225659993477,72.0,4024.0,False,200,0.2,1000
